Time,GuiPids,GuiPrivateBytes,GuiCPU,CorePids,CorePrivateBytes,CoreCPU,Ports
2026-09-06T23:50:05.7661818+08:00,[19264],[153157632],[4.75],[432],[66506752],[1.1875],"[7890, 7891, 9090]"
2026-09-06T23:50:10.8692858+08:00,[19264],[152100864],[4.765625],[432],[66572288],[1.265625],"[7890, 7891, 9090]"
2026-09-06T23:50:15.9368516+08:00,[19264],[152920064],[4.796875],[432],[66572288],[1.265625],"[7890, 7891, 9090]"
2026-09-06T23:50:21.0448177+08:00,[19264],[152920064],[4.8125],[432],[66572288],[1.28125],"[7890, 7891, 9090]"
2026-09-06T23:50:26.1227608+08:00,[19264],[153444352],[4.828125],[432],[66572288],[1.296875],"[7890, 7891, 9090]"
2026-09-06T23:50:31.2159358+08:00,[19264],[153968640],[4.84375],[432],[66572288],[1.296875],"[7890, 7891, 9090]"
2026-09-06T23:50:36.2728067+08:00,[19264],[154976256],[4.875],[432],[67821568],[2.015625],"[7890, 7891, 9090]"
2026-09-06T23:50:41.3119244+08:00,[19264],[157073408],[4.921875],[432],[70602752],[2.40625],"[7890, 7891, 9090]"
2026-09-06T23:50:46.3781616+08:00,[19264],[157597696],[4.953125],[432],[70676480],[2.9375],"[7890, 7891, 9090]"
2026-09-06T23:50:51.4612773+08:00,[19264],[157597696],[4.96875],[432],[70676480],[3.046875],"[7890, 7891, 9090]"
2026-09-06T23:50:56.5357093+08:00,[19264],[157597696],[5],[432],[70676480],[3.0625],"[7890, 7891, 9090]"
2026-09-06T23:51:01.6211044+08:00,[19264],[159707136],[5.015625],[432],[70676480],[3.078125],"[7890, 7891, 9090]"
2026-09-06T23:51:06.7008968+08:00,[19264],[158617600],[5.03125],[432],[70676480],[3.140625],"[7890, 7891, 9090]"
2026-09-06T23:51:11.7560580+08:00,[19264],[158560256],[5.046875],[432],[70676480],[3.1875],"[7890, 7891, 9090]"
2026-09-06T23:51:16.8091758+08:00,[19264],[158560256],[5.078125],[432],[72638464],[3.28125],"[7890, 7891, 9090]"
2026-09-06T23:51:21.8259000+08:00,[19264],[158494720],[5.078125],[432],[73097216],[3.421875],"[7890, 7891, 9090]"
