round,connect_click,app_ready_ms,click_to_app_ready_ms,disconnect_to_core_and_ports_clear_ms,https,proxy_connected,proxy_disconnected,gui_pid,private_bytes_disconnected,passed
1,2026-09-06T15:19:52.046000+00:00,2154,2252,1507,204,1,0,19800,242638848,True
2,2026-09-06T15:20:26.637000+00:00,2165,2275,1420,204,1,0,19800,244224000,True
3,2026-09-06T15:21:07.883000+00:00,2185,2285,1421,204,1,0,19800,240545792,True
4,2026-09-06T15:21:41.701000+00:00,2170,2269,1452,204,1,0,19800,240549888,True
5,2026-09-06T15:22:14.649000+00:00,2177,2273,1492,204,1,0,19800,249470976,True
6,2026-09-06T15:22:49.757000+00:00,2147,2237,1399,204,1,0,19800,246845440,True
7,2026-09-06T15:23:23.404000+00:00,2147,2241,1533,204,1,0,19800,239501312,True
8,2026-09-06T15:23:59.016000+00:00,2154,2372,1582,204,1,0,19800,248946688,True
9,2026-09-06T15:24:38.547000+00:00,2162,2251,1408,204,1,0,19800,243318784,True
10,2026-09-06T15:25:11.548000+00:00,2196,2293,1538,204,1,0,19800,241737728,True
11,2026-09-06T15:25:44.729000+00:00,2155,2249,1480,204,1,0,19800,249155584,True
12,2026-09-06T15:26:20.748000+00:00,2158,2253,1424,204,1,0,19800,243068928,True
13,2026-09-06T15:26:53.374000+00:00,2187,2277,1463,204,1,0,19800,239005696,True
14,2026-09-06T15:27:28.880000+00:00,2171,2279,1561,204,1,0,19800,236908544,True
15,2026-09-06T15:28:06.470000+00:00,2202,2304,1545,204,1,0,19800,245379072,True
16,2026-09-06T15:28:38.208000+00:00,2182,2281,1557,204,1,0,19800,243171328,True
17,2026-09-06T15:29:17.842000+00:00,2174,2268,1511,204,1,0,19800,247894016,True
18,2026-09-06T15:29:57.202000+00:00,2169,2279,1453,204,1,0,19800,241594368,True
19,2026-09-06T15:30:33.993000+00:00,2187,2293,1421,204,1,0,19800,240545792,True
20,2026-09-06T15:31:13.188000+00:00,2190,2285,1418,204,1,0,19800,250515456,True
